총 823개 중 200개 표시
  0000000001    1. 통화/금융
  0000000620    1.1. 통화/유동성(신지표)
  0000000621    1.1.1. 본원통화
  0000000622    1.1.1.1. 본원통화 구성내역
  102Y004       1.1.1.1.1. 본원통화 구성내역(평잔, 계절조정계열)
  102Y002       1.1.1.1.2. 본원통화 구성내역(평잔, 원계열)
  102Y003       1.1.1.1.3. 본원통화 구성내역(말잔, 계절조정계열)
  102Y001       1.1.1.1.4. 본원통화 구성내역(말잔, 원계열)
  0000000623    1.1.2. M1(협의통화)
  0000000624    1.1.2.1. M1(협의통화) 상품별 구성내역
  161Y001       1.1.2.1.1. M1 상품별 구성내역(평잔, 계절조정계열)
  161Y002       1.1.2.1.2. M1 상품별 구성내역(평잔, 원계열)
  161Y003       1.1.2.1.3. M1 상품별 구성내역(말잔, 계절조정계열)
  161Y004       1.1.2.1.4. M1 상품별 구성내역(말잔, 원계열)
  0000000625    1.1.3. M2(광의통화)
  0000000626    1.1.3.1. M2(광의통화) 상품별 구성내역
  161Y005       1.1.3.1.1. M2 상품별 구성내역(평잔, 계절조정계열)
  161Y006       1.1.3.1.2. M2 상품별 구성내역(평잔, 원계열)
  161Y007       1.1.3.1.3. M2 상품별 구성내역(말잔, 계절조정계열)
  161Y008       1.1.3.1.4. M2 상품별 구성내역(말잔, 원계열)
  0000000627    1.1.3.2. M2(광의통화) 경제주체별 보유현황
  161Y009       1.1.3.2.1. M2 경제주체별 보유현황(평잔, 계절조정계열)
  161Y010       1.1.3.2.2. M2 경제주체별 보유현황(평잔, 원계열)
  161Y011       1.1.3.2.3. M2 경제주체별 보유현황(말잔, 계절조정계열)
  161Y012       1.1.3.2.4. M2 경제주체별 보유현황(말잔, 원계열)
  0000000628    1.1.3.3. M2 기관별 구성내역
  161Y013       1.1.3.3.1. M2 기관별 구성내역(평잔)
  161Y014       1.1.3.3.2. M2 기관별 구성내역(말잔)
  0000000629    1.1.4. Lf(금융기관 유동성)
  0000000630    1.1.4.1. Lf(금융기관 유동성) 구성내역
  171Y003       1.1.4.1.1. Lf 구성내역(평잔, 계절조정계열)
  171Y004       1.1.4.1.2. Lf 구성내역(평잔, 원계열)
  171Y001       1.1.4.1.3. Lf 상품별 구성내역(말잔, 계절조정계열)
  171Y002       1.1.4.1.4. Lf 상품별 구성내역(말잔, 원계열)
  0000000631    1.1.5. L(광의유동성)
  172Y001       1.1.5.1. L(광의유동성) 구성내역(말잔, 계절조정계열)
  172Y002       1.1.5.2. L(광의유동성) 구성내역(말잔, 원계열)
